"0-Titolo pagina","1-DataTrek Item",2-HTPaginaID,3-HTSezioneID,4-HTPaginaTag,5-HTPaginaElaboarata,6-HTMAPage,7-HTOriginale,8-HTimdbID,"9-Data stellare"
"Boris Sobelman",Q1330,7125,194,sobelmanboris,2018-05-20T17:00:49,,,,
"Borka VI",Q1331,4037,150,borka6,2018-04-22T21:14:28,,,,
Boronite,Q1442,5136,214,bronite,2018-05-20T22:01:40,,,,
Borum,Q1332,8402,94,borum,2018-04-22T16:17:37,Borum,,,
Bosaal,Q1333,9717,94,bosaal,2018-04-22T16:17:44,Bosaal,,,
"Bosus Hill",Q1334,8131,100,hillbosus,2018-04-22T16:17:35,Bosus,,,
Bothani,Q1335,5038,122,bothani,2018-05-13T12:23:20,,,,
Bound,Q1336,2376,17,ent093,2018-04-02T21:04:32,,,,
Bounty,Q1337,2334,17,ent051,2018-04-02T21:04:29,,,,
Boyer,Q1338,2251,94,boyer,2018-04-22T16:17:20,Boyer,,,
Boylan,Q1339,2252,94,boylan,2018-04-22T16:17:20,Boylan,,,
"Bozel Prime",Q1340,4127,150,bozelprime,2018-04-22T21:14:29,,,,
Bozeliani,Q1341,5037,122,bozeliani,2018-05-13T12:23:20,,,,
"Bracas V",Q1342,4128,150,bracas5,2018-04-22T21:14:29,,,,
Brackett,Q1343,7880,94,brackett,2018-04-22T16:17:34,,,,
Bractor,Q1344,7458,94,bractor,2018-04-22T16:17:33,Bractor,,,
"Brad Blaisdell",Q1345,8903,177,blaisdellbrad,2018-05-20T20:34:43,,,,
"Brad Dourif",Q1346,1113,179,dourifbrad,2018-05-20T16:20:53,,,nm0000374,
"Brad Ferguson",Q1347,4737,181,fergusonbrad,2018-05-20T17:00:28,,,,
"Brad Forrest",Q1348,6098,181,forrestbrad,2018-05-20T17:00:30,,,,
"Brad Greenquist",Q1349,1202,182,greenquistbrad,2018-05-20T16:20:56,,,nm0339159,
"Brad Weston",Q1350,6851,198,westonbrad,2018-05-20T17:00:44,,,,
"Brad William Henke",Q1351,10699,183,henkebradwilliam,2018-05-20T21:13:03,,,nm0377034,
"Brad Zerbst",Q1352,1764,201,zerbstbrad,2018-05-20T16:21:13,,,nm1123651,
"Bradley J. Thompson",Q1353,1653,195,thompsonbradley,2018-05-20T16:21:10,,,nm0859918,
"Bradley M. Look",Q1354,4689,187,lookbradleym,2018-05-20T17:00:27,,,,
"Bradley Pierce",Q1355,9457,191,piercebradley,2018-05-20T20:34:51,,,,
"Brady Bluhm",Q1356,9108,177,bluhnbrady,2018-05-20T20:34:45,,,,
Branch,Q1357,2263,94,branch,2018-04-22T16:17:20,Branch,,,
Brand,Q1358,7897,94,brand,2018-04-22T16:17:35,Brand,,,
"Brandon Karrer",Q1359,6198,186,karrerbrandon,2018-05-20T17:00:32,,,,
"Brandon Stacy",Q1360,10717,194,stacybrandon,2018-05-20T21:13:03,,,nm1975871,
"Brandy alvaniano",Q1361,5794,203,brandyalvaniano,2018-05-27T13:13:55,,,,
"Brandy andoliano",Q1362,5795,203,brandyandoliano,2018-05-27T13:13:55,,,,
"Brandy antareano",Q1363,5796,203,brandyantareano,2018-05-27T13:13:55,,,,
"Brandy sauriano",Q1364,5858,203,bebrandysauriano,2018-05-27T13:13:56,Saurian_brandy,"Saurian brandy",,
"Brannon Braga",Q1365,954,177,bragabrannon,2018-05-20T16:20:48,,,nm0103804,
"Branscombe Richmond",Q1366,9920,193,richmondbranscombe,2018-05-20T20:34:59,,,,
Branson,Q1367,10211,94,branson,2018-04-22T16:17:46,Branson,,ch0088432,
"Brant Cotton",Q1368,8855,178,cottonbrant,2018-05-20T20:34:41,,,,
Brathaw,Q1369,8723,94,brathaw,2018-04-22T16:17:39,Brathaw,,,
"Brax (brax)",Q1370,9733,94,brax,2018-04-22T16:17:44,Brax_(Talaxian),,,
"Brax (braxp)",Q1371,4129,150,braxp,2018-04-22T21:14:30,,,,
Braxton,Q1372,9327,94,braxton,2018-04-22T16:17:42,Braxton,,,
"Bread and Circuses",Q1373,2946,18,tos43,2018-04-07T16:50:18,,,tt0708421,4040.7
"Breaking the Ice",Q1374,2291,17,ent008,2018-04-02T21:04:28,,,,
Breen,Q1375,5036,122,breen,2018-05-13T12:23:20,,,,
Brekka,Q1376,4036,150,brekka,2018-04-22T21:14:28,,,,
Brekkiani,Q1377,5035,122,brekkiani,2018-05-13T12:23:20,,,,
Brell,Q1378,9704,94,brell,2018-04-22T16:17:44,Brell,,,
"Brenan Baird",Q1379,8846,177,bairdbrenan,2018-05-20T20:34:41,,,,
Brenari,Q1380,5034,122,brenari,2018-05-13T12:23:20,,,,
"Brenda Bakke",Q1381,7213,177,bakkebrenda,2018-05-20T17:00:51,,,,
"Brenda Jean",Q1382,9163,185,jeanbrenda,2018-05-20T20:34:46,,,,
"Brenda Strong",Q1383,7243,194,strongbrenda,2018-05-20T17:00:52,,,,
"Brendan McKane",Q1384,7256,188,mckanebrendan,2018-05-20T17:00:52,,,,
"Brenna Odell",Q1385,7453,107,odellbrenna,2018-04-22T16:17:33,Brenna_Odell,,,
Brent,Q1386,2182,94,brent,2018-04-22T16:17:20,Brent,,,
"Brent Hinkley",Q1387,9269,183,hinkleybrent,2018-05-20T20:34:48,,,,
"Brent Spiner",Q1388,1617,194,spinerbrent,2018-05-20T16:21:09,,,nm0000653,
"Brent V. Friedman",Q1389,1163,181,friedmanbrent,2018-05-20T16:20:54,,,nm0295165,
Brentalia,Q1390,4035,150,brentalia,2018-04-22T21:14:28,,,,
"Breon Gorman",Q1391,10104,182,gormanbreon,2018-05-20T20:35:05,,,,
"Brett Baker",Q1392,6155,177,bakerbrett,2018-05-20T17:00:31,,,,
"Brett Cullen",Q1393,8632,178,cullenbrett,2018-05-20T20:34:37,,,,
"Brett Dunham",Q1394,6802,179,dunhambrett,2018-05-20T17:00:43,,,,
"Brett Porter",Q1395,10010,191,porterbrett,2018-05-20T20:35:02,,,,
"Brett Rickaby",Q1396,6477,193,rickabybrett,2018-05-20T17:00:36,,,,
Briam,Q1397,7905,94,briam,2018-04-22T16:17:35,Briam,,,
"Brian Alan Lane",Q1398,7466,187,lanebrianalan,2018-05-20T17:00:56,,,nm0485256,
"Brian Bonsall",Q1399,945,177,bonsallbrian,2018-05-20T16:20:48,,,nm0095176,
"Brian Brophy",Q1400,7413,177,brophybrian,2018-05-20T17:00:55,,,,
"Brian D'Arcy",Q1401,6522,179,darcybrian,2018-05-20T17:00:38,,,,
"Brian Evaret Chandler",Q1402,8865,178,chandlerbrianevaret,2018-05-20T20:34:41,,,nm1835661,
"Brian Fitzpatrick",Q1403,9544,181,fitzpatrickbrian,2018-05-20T20:34:52,,,nm0280494,
"Brian George",Q1404,1180,182,georgebrian,2018-05-20T16:20:55,,,nm0313364,
"Brian J. Cousins",Q1405,1050,178,cousinsbrian,2018-05-20T16:20:51,,,nm0184080,
"Brian J. Williams",Q1406,6467,198,williamsbrianj,2018-05-20T17:00:36,,,,
"Brian Jacobs",Q1407,6165,185,jacobsbrian,2018-05-20T17:00:31,,,,
"Brian Keith",Q1408,8325,186,keithbrian,2018-05-20T20:34:34,,,,
"Brian Markinson",Q1409,1372,188,markinsonbrian,2018-05-20T16:21:01,,,nm0548498,
"Brian McNamara",Q1410,9454,188,mcnamarabrian,2018-05-20T20:34:51,,,,
"Brian Morri",Q1411,6374,188,morribrian,2018-05-20T17:00:35,,,,
"Brian Reddy",Q1412,6356,193,reddybrian,2018-05-20T17:00:34,,,,
"Brian Sofin",Q1413,3233,111,sofinbrian,2018-04-22T16:17:27,Brian_Sofin,,,
"Brian Thompson",Q1414,1652,195,thompsonbrian,2018-05-20T16:21:10,,,nm0859921,
