0-Titolo originale,1-DataTrek Item,2-Codice TNG Companion,3-Data di pubblicazione in Italia,4-Data di pubblicazione originale,5-DVD europeo,6-Numero di produzione,7-Regista,8-Regista Q,9-Sceneggiatura,10-Sceneggiatura Q,11-Storia,12-Storia Q,13-Sequenza di trasmissione,14-Stagione,15-Titolo ES,16-Titolo FR,17-Titolo italiano,18-Titolo JP,19-Titolo tedesco,20-VHS britannica,21-Music by,22-Music by Q,23-Precedente,24-Precedente Q,25-Successivo
Unification - Part II,Q9715,u2,1995-03-10,1991-11-11,2,207,Cliff Bole,Q1941,Michael Piller,Q6295,"Rick Berman,Michael Piller","Q7652,Q6295",108,5,"Unificacion, parte II",Réunification II,Il segreto di Spock - Seconda parte,Sen'nyu! Romulan Teikoku (Infiltrate! Romulan Empire),Wiedervereinigung?,54 (U),Dennis McCarthy,Q2471,Unification - Part I,Q9714,Q115
Ensign Ro,Q2881,er,1995-03-04,1991-10-07,1,203,Les Landau,Q5378,Michael Piller,Q6295,"Rick Berman,Michael Piller","Q7652,Q6295",103,5,La alférez Ro,L'enseigne Ro,Il guardiamarina Ro,Rurou no Bajor-seijin (Roving Bajorans),Fähnrich Ro,52 (U),Dennis McCarthy,Q2471,Darmok,Q2244,Q8264
Samaritan Snare,Q7989,ss,1994-12-24,1989-05-15,5,143,Les Landau,Q5378,,,Robert L. McCullough,Q7752,43,2,,Le piège des samaritains,Trappola per samaritani,Orokanaru Yokubou (Foolish Want),Das Herz des Captains (Il cuore di un Capitano),22 (PG),Dennis McCarthy,Q2471,Q Who?,Q7321,Q9737
Symbiosis,Q8756,sy,1997-03-27,1988-04-18,6,123,Win Phelps,Q10093,"Hans Beimler,Robert Lewin,Richard Manning","Q3651,Q7756,Q7635",Robert Lewin,Q7756,22,1,Simbiosis,Symbiose,Simbiosi,Kindan no Hiyaku (Forbidden Nostrum),Die Seuche (L'epidemia),11 (PG),Dennis McCarthy,Q2471,The Arsenal of Freedom,Q9058,Q8311
The Arsenal of Freedom,Q9058,af,1997-03-26,1988-04-11,6,121,Les Landau,Q5378,"Hans Beimler,Richard Manning","Q3651,Q7635","Robert Lewin,Maurice Hurley","Q7756,Q6102",21,1,El arsenal de la libertad,L'arsenal de la liberté,L'arsenale della libertà,Ikikaetta Shi no Uchu-shounin (Revival Deadly Space Merchant),Die Waffenhändler (I venditori di armi),11 (U),Dennis McCarthy,Q2471,Heart of Glory,Q3718,Q8756
Conspiracy,Q2006,co,1993-03-13,1988-05-09,7,125,Cliff Bole,Q1941,Tracy Tormé,Q9565,Robert Sabaroff,Q7767,25,1,La conspiración,Conspiration,Cospirazione,Osorubeki Inbou (Terrifying Conspiracy),Die Verschwörung (La cospirazione),13 (PG),Dennis McCarthy,Q2471,We'll Always Have Paris,Q9999,Q9196
Home Soil,Q3803,hs,1992-08-31,1988-02-22,5,117,Corey Allen,Q2023,Robert Sabaroff,Q7767,"Robert Sabaroff,Karl Geurs,Ralph Sanchez","Q7767,Q4801,Q7426",18,1,Suelo habitado,Terre natale,Progetto Terraforming,Kami ni Nita Hitobito (People Semble to God),Ein Planet wehrt sich (Un pianeta resiste),9 (PG),Dennis McCarthy,Q2471,When the Bough Breaks,Q10024,Q1989
The Hunted,Q9152,hu,1995-01-11,1990-01-08,3,159,Cliff Bole,Q1941,,,Robin Bernheim,Q7788,59,3,El cazador,Le fugitif,I perseguitati,Kyoufu no Ningen-heiki (Terrible People-weapon),Die Verfemten,30 (PG),Dennis McCarthy,Q2471,The Defector,Q9104,Q9148
Redemption - Part I,Q7488,rd,1995-03-01,1991-06-17,7,200,Cliff Bole,Q1941,,,Ronald D. Moore,Q7854,100,4,"Redención, parte I",Rédemption I,La via di Klingon - Prima parte,Klingon Teikoku no Kiki (Crisis of Klingon Empire),Der Kampf um das klingonische Reich I,50 (PG),Dennis McCarthy,Q2471,In Theory,Q3928,Q7489
Redemption - Part II,Q7489,r2,1995-03-02,1991-09-23,1,201,David Carson,Q2284,,,Ronald D. Moore,Q7854,101,5,"Redención, parte II",Rédemption II,La via di Klingon - Seconda parte,Klingon Teikoku no Kiki (Crisis of Klingon Empire),Der Kampf um das klingonische Reich II,51 (PG),Dennis McCarthy,Q2471,Redemption - Part I,Q7488,Q2244
The Next Phase,Q9198,np,1996-02-23,1992-05-18,6,224,David Carson,Q2284,,,Ronald D. Moore,Q7854,124,5,La próxima fase,Déphasage,Un'altra dimensione,Tensou-jiko no Nazo (Mystery of Transport Accident),So nah und doch so fern,62 (U),Dennis McCarthy,Q2471,"I, Borg",Q3849,Q9158
Family,Q3071,sh,1995-01-30,1990-10-01,1,178,Les Landau,Q5378,,,Ronald D. Moore,Q7854,76,4,Generación familiar,En famille,Famiglie,Senshi no Kyusoku (Rest of Warriors),Familienbegegnung,38 (PG),Dennis McCarthy,Q2471,The Best of Both Worlds - Part II,Q9069,Q1453
Tapestry,Q8869,tp,1996-07-13,1993-02-15,,241,Les Landau,Q5378,,,Ronald D. Moore,Q7854,141,6,Tapiz,Tapisserie,Una seconda opportunità,Unmei no Wakare-michi (Weird Parting of the Ways),Willkommen im Leben nach dem Tode,71 (PG),Dennis McCarthy,Q2471,Face of the Enemy,Q3049,Q1251
The Bonding,Q9072,bo,1995-01-05,1989-10-23,2,153,Winrich Kolbe,Q10098,,,Ronald D. Moore,Q7854,53,3,La unión,Filiation,Il vincolo,Kanashimi no Genei (Plaintful Illusion),Mutterliebe,27 (PG),Dennis McCarthy,Q2471,Who Watches the Watchers?,Q10035,Q1314
Schisms,Q8061,sc,1996-07-02,1992-10-19,,231,Robert Wiemer,Q7781,Brannon Braga,Q1365,"Ronald Wilkerson,Jean Louise Matthias","Q7859,Q4233",131,6,Cismas,Schismes,Sonni pericolosi,Nazo no Dai-san-ji-akukan (Mysterious 3rd Subspace),In den Subraum entführt,66 (PG),Dennis McCarthy,Q2471,Relics,Q7528,Q9652
